"Pera", 155.77, 1090
"Ajo", 911.70, 99
"Naranja", 7.91, 1040
"Lima", 1301.90, 236
"Cebolla", 61.19, 960
"Mandarina", 15.37, 1090
"Mandarina", 15.79, 970
"Alcachofa", 149.80, 345
"Sandia", 70.90, 729
"Naranja", 13.20, 920
"Brocoli", 366.38, 400
"Alcachofa", 160.63, 345
"Batata", 24.30, 1140
"Cereza", 1029.65, 190
"Pera", 157.33, 1200
"Frutilla", 306.91, 300
"Caqui", 831.11, 80
"Higo", 2521.85, 91
"Palta", 480.11, 455
"Palta", 464.81, 495
"Acelga", 18.63, 900
"Brocoli", 372.64, 448
"Choclo", 48.99, 288
"TomCherry", 559.36, 194
"Kiwi", 433.21, 348
"Sandia", 62.09, 1026
"Frambuesa", 2116.82, 91
"Lima", 1004.89, 192
"Morron", 3063.61, 702
"Choclo", 61.77, 273
"Frambuesa", 2111.08, 104
"Calabaza", 15.58, 728
"Lima", 1095.75, 238
"Kinoto", 39.82, 176
"Palta", 1137.08, 400
"Kinoto", 30.48, 224
"TomCherry", 542.73, 168
"Durazno", 159.22, 944
"Cereza", 1076.70, 168
"Champignon", 3543.15, 83
"Limon", 357.95, 567
"Pera", 143.73, 1200
"Lima", 1350.67, 194
"Naranja", 7.64, 880
"Melon", 98.86, 436
"Ciruela", 953.60, 972
"Apio", 64.09, 279
"Frutilla", 291.79, 288
"Naranja", 22.28, 940
"Brocoli", 354.66, 480
"Ajo", 881.42, 98
"Uva", 699.86, 267
"Esparrago", 610.75, 236
"Lima", 1099.60, 166
"Cereza", 1081.44, 208
"TomCherry", 545.33, 186
"Sandia", 75.42, 819
"Caqui", 806.09, 99
"Kinoto", 29.49, 208
"Naranja", 13.21, 1180
"Esparrago", 612.83, 232
"Acelga", 21.64, 837
"Pera", 152.92, 1070
"TomCherry", 557.39, 170
"Manzana", 141.65, 1120
"Rabanito", 212.32, 282
"Cereza", 1037.96, 214
"Brocoli", 331.57, 440
"Sandia", 68.93, 1026
"Ajo", 941.73, 107
"Pomelo", 47.01, 954
"Uva", 721.54, 291
"Kiwi", 429.16, 336
"Lima", 1033.97, 222
"Zanahoria", 35.94, 522
"Kinoto", 37.21, 240
"Pepino", 37.15, 485
"Manzana", 121.08, 980
"Banana", 68.43, 1080
"Palta", 1182.85, 400
"Pomelo", 42.51, 1080
"Mandarina", 23.75, 1090
"Morron", 2937.52, 618
"Lima", 1007.51, 196
"Durazno", 268.87, 840
"Sandia", 60.70, 936
"Ciruela", 947.13, 756
"Papa", 21.49, 1080
"Frutilla", 269.53, 270
"Durazno", 287.68, 888
"Acelga", 16.47, 936
"Pomelo", 41.19, 738
"Ciruela", 935.68, 1071
"Pepino", 35.89, 505
"Calabaza", 17.19, 768
"TomCherry", 546.38, 218
"Pomelo", 44.01, 972
"Uva", 747.98, 279
"Naranja", 19.22, 820
"Rabanito", 214.51, 246
"Rabanito", 206.86, 249
"Limon", 370.70, 686
"Batata", 21.05, 1070
"Uva", 718.69, 339
"Esparrago", 626.66, 184
"Choclo", 53.18, 327
"Lechuga", 37.49, 747
"Palta", 517.80, 415
"Melon", 76.56, 420
"Calabaza", 17.04, 952
"Melon", 112.83, 328
"Choclo", 45.92, 258
"Durazno", 158.74, 680
"Durazno", 148.90, 664
"Acelga", 20.63, 864
"Lima", 1238.90, 232
"Naranja", 16.57, 1190
"Berenjena", 49.09, 492
"Kiwi", 415.57, 456
"Ajo", 909.91, 80
"Calabaza", 19.65, 752
"Lima", 1195.99, 194
"TomCherry", 570.92, 176
"Sandia", 58.52, 792
"Naranja", 15.70, 1050
"Apio", 60.81, 273
"Pomelo", 39.33, 738
"Pera", 181.22, 850
"Palta", 1159.82, 400
"Limon", 357.19, 644
"Repollo", 0.61, 609
"Ajo", 898.50, 94
"Ajo", 901.74, 93
"Esparrago", 611.53, 240
"Pepino", 31.25, 530
"Manzana", 123.78, 1080
"Lima", 1057.87, 168
"Palta", 496.82, 550
"Higo", 2576.85, 102
"Zuccini", 86.45, 654
"Repollo", 3.38, 637
"Alcachofa", 151.06, 315
"Lima", 1278.32, 200
"Acelga", 23.01, 747
"Tomate", 767.37, 909
"Apio", 62.69, 264
"Manzana", 136.96, 1060
"Esparrago", 620.22, 214
"Pepino", 43.68, 570
"Durazno", 128.77, 752
"Pepino", 28.97, 425
"Berenjena", 55.18, 666
"Lima", 1016.55, 216
"Alcachofa", 128.45, 273
"Naranja", 7.73, 1200
"Cereza", 998.00, 192
"Zanahoria", 38.47, 582
"Cereza", 1067.71, 186
"TomCherry", 526.87, 236
"Uva", 711.30, 288
"Zanahoria", 33.98, 684
"Berenjena", 66.50, 492
"Durazno", 187.49, 872
"Lima", 1207.79, 190
"Apio", 64.53, 249
"Frutilla", 283.56, 357
"Repollo", 5.19, 742
"Lima", 995.08, 218
"Alcachofa", 146.51, 297
"Banana", 56.15, 990
"Apio", 60.24, 261
"Pepino", 34.15, 500
"Champignon", 3614.40, 109
"Zanahoria", 44.61, 714
"Zanahoria", 35.61, 612
"Sandia", 60.22, 963
"Lima", 1185.51, 224
"Coliflor", 32.07, 435
"Sandia", 61.77, 819
"Lima", 1233.49, 168
"Higo", 2477.02, 80
"Alcachofa", 147.82, 300
"Caqui", 810.53, 89
"Cebolla", 63.48, 704
"Higo", 2467.70, 102
"Calabaza", 18.81, 672
"Melon", 97.28, 376
"Mandarina", 18.53, 1140
"Durazno", 193.18, 928
"Cebolla", 74.43, 784
"Esparrago", 545.97, 216
"Melon", 122.24, 336
"Higo", 2453.43, 99
"Frambuesa", 2038.64, 105
"Brocoli", 362.59, 448
"Coliflor", 26.25, 495
"Lima", 1372.06, 202
"Apio", 59.60, 273
"Zuccini", 93.48, 678
"Durazno", 161.97, 864
"Limon", 296.40, 763
"Cereza", 1030.22, 226
"Palta", 1120.04, 412
"Choclo", 60.63, 315
"Choclo", 50.77, 357
"Lima", 1210.98, 208
"Rabanito", 225.42, 342
"Mandarina", 16.02, 940
"Uva", 749.00, 294
"Zuccini", 91.15, 636
"Manzana", 129.58, 930
"Ciruela", 941.69, 882
"Lima", 1343.29, 212
"Cereza", 991.23, 164
"Durazno", 182.78, 824
"Choclo", 64.63, 315
"Limon", 348.18, 630
"Calabaza", 25.42, 696
"Zuccini", 80.51, 576
"Lechuga", 53.85, 1008
"Berenjena", 53.75, 534
"Lima", 1046.16, 162
"Cebolla", 53.18, 752
"Kinoto", 28.06, 220
"Kinoto", 38.42, 224
"Cebolla", 71.24, 704
"Pomelo", 38.32, 1062
"Frambuesa", 1982.48, 89
"Melon", 113.09, 388
"Lima", 1268.71, 196
"Pera", 138.76, 1090
"Batata", 20.22, 1070
"Banana", 39.28, 1050
"Melon", 109.11, 432
"Morron", 2927.51, 684
"Banana", 56.12, 1170
"Berenjena", 63.87, 612
"Morron", 2906.71, 660
"Durazno", 253.00, 752
"Pepino", 35.70, 575
"Banana", 46.26, 960
"Palta", 518.09, 485
"Pomelo", 46.52, 828
"TomCherry", 528.90, 226
